"question_id","question","reference_answer","generated_answer","domain","context_type","is_correct","score_answer_correctness","score_llm_judge"
"0","火災保険の収益悪化に対し、損害保険各社はどのような収益改善策を講じているか、具体的な例を挙げて説明してください。さらに、これらの改善策がどのように保険引受利益に影響を与えたかについても教えてください。","火災保険の収益悪化には長期契約が赤字状態であることや自然災害増加に伴う再保険市場のハード化が影響しています。これを受けて、各保険会社では2021年5月の参考純率改定に基づいて商品改定を行いました。また、更なる保険料改定が必要だと共通認識され、独自の収益改善策を講じている会社もあります。例えば、一部の保険会社は再保険の利用を見直し、リスク管理の強化を図っています。他の会社では、新技術を導入して損害査定の効率化を図るなどしています。これらの取り組みは、結果として一部の保険会社では保険引受利益の改善に寄与していますが、未だに全体としては二極化が進んでいると考えられます。","以下は提供された資料（01.pdf, p.4）に基づく事実のみの整理です。

1) 損害保険各社が講じている具体的な収益改善策（事実）
- 参考純率改定（2021年5月）に伴う商品改定を各社が実施した（＝保険料・商品設計の見直し）。（出典：01.pdf p.4）
- 「更なる保険料改定が必要」という共通認識の下、保険料改定を行う／検討する動きがあること。 （出典：01.pdf p.4）
- 参考純率改定に依存する形で収益改善を図る会社と、参考純率改定に加えて各社独自の収益改善策を実施する会社に二極化している、という記述（＝各社で独自の改善策を実施している事例がある）。（出典：01.pdf p.4）
- 大手3グループ及び中堅6社を対象に、火災保険の収益改善等について対話（監督側とのヒアリング・確認）を実施した。 （出典：01.pdf p.4）

2) これらの改善策が保険引受利益に与えた影響（事実）
- 参考純率改定に基づく商品改定等により、参考純率改定に依存して収益改善が進んでいる保険会社がある（＝一定の改善効果を狙った施策が行われた）。一方で、参考純率改定だけでは改善が限定的な会社もあり、改善効果には会社間で差（＝二極化）が生じている可能性があるとされている。（出典：01.pdf p.4）
- ただし資料は、火災保険が正味収入保険料の約20%を占めるにもかかわらず過去10年間にわたり保険引受利益が恒常的にマイナスであることを示しており、実施された改定・施策だけではなお十分とは言えない状況が続いていることを明記している。（出典：01.pdf p.4）

注：資料は「商品改定」「保険料改定」「各社の独自施策」などの実施を明記していますが、個別の会社名ごとの具体的施策内容（例：免責額の変更、補償範囲の縮小、再保険条件の変更など）や、施策ごとの定量的な保険引受利益改善額は本文には記載されていません（記載があればそのページ番号を明示してください）。","finance","paragraph","True","1.0","0.8"
"1","2017年度から2021年度までのどの年が最も自然災害の保険金支払額が高かったか？また、その理由についても説明しなさい。","2017年度から2021年度まで最も保険金支払額が高かったのは2018年度で、10,678億円の被害が発生しました。その理由として、2018年度は台風21号が特に大きな影響を及ぼし、甚大な被害をもたらしたことが考えられます。","2018年度が最も高く、保険金支払額は10,678億円でした（出典：01.pdf、p.5）。また、2018年度と2019年度は風水災等による保険金支払額がともに1兆円を超えていることが指摘されています（出典：DP2023-2.pdf、p.11）。2018年度の大きな支払額は表にある「台風21号」による被害によるものです（出典：01.pdf、p.5）。","finance","image","True","1.0","1.0"
"2","主要生保のソルベンシー・マージン比率の推移を考慮すると、令和5年3月期の比率が令和3年3月期と比べてどのような変動を示しているか。","令和3年3月期のソルベンシー・マージン比率は1007.4でしたが、令和5年3月期には944.8に減少しています。三年間で総計62.6ポイントの減少が見られます。","提示されたコンテキスト（出典: 10.pdf p.11、DP2023-2.pdf p.13）には、主要生保のソルベンシー・マージン比率の推移や令和3年3月期・令和5年3月期の比率に関する記載がありません。よって、提示された情報だけでは「令和5年3月期が令和3年3月期と比べてどのように変動したか」を判断できません。

該当データ（主要生保の各期のソルベンシー・マージン比率）があれば比較して差分をお示しできます。データを提示いただくか、該当する出典ページを教えてください。","finance","image","False","0.0","0.2"
"3","生命保険協会や金融庁は保険代理店の業務品質評価運営に対してどのような具体的な取組みや対策を講じているのか、またその背景にはどのような課題や目的があるのか説明してください。","保険代理店管理態勢の高度化において、生命保険協会や金融庁は代理店の業務品質評価運営に力を入れています。金融庁は、生命保険協会の評価運営を踏まえ、各保険会社が代理店の業務品質を評価する状況を確認しています。更に、評価運営の更なる浸透を図るため、具体的な意見を発信し、生命保険会社や保険代理店が創意工夫を凝らした取組みを促進しています。これらの背景には、代理店が直接の顧客接点として重要な役割を担っていること、また顧客本位の業務運営を確実にするために、代理店の業務品質の向上が重要であるという課題があります。加えて、保険代理店がサイバーセキュリティ対策やコンティンジェンシープランの策定において遅れを取っており、更なる取り組みの進展が望まれる点も挙げられます。","以下は、提示された資料（出典はいずれも01.pdf p.8）に基づく事実のみの整理です。

1) 金融庁・生命保険協会等が講じている具体的な取組み・対策
- 生命保険協会における評価運営を踏まえ、各社の「代理店の業務品質評価」に関する検討状況を確認している（出典:01.pdf p.8）。  
- 評価運営の更なる浸透に向けて、金融庁が意見を発信し、生命保険会社や保険代理店の創意工夫を促している（出典:01.pdf p.8）。  
- 財務局と協働して、84の保険代理店を対象にヒアリングを実施している（出典:01.pdf p.8）。  
- 損害保険会社と代理店との関係で、手数料ポイントや代理店の統廃合に関して一部代理店から懸念があることを踏まえ、対応が一方的にならないよう損害保険会社に対して丁寧な対応に努めるよう促している（出典:01.pdf p.8）。  

2) 背景にある課題・目的
- 保険代理店は直接の顧客接点として顧客と保険会社をつなぐ重要な役割を担っており、これに対応して「保険代理店管理態勢の高度化」が必要とされている（出典:01.pdf p.8）。  
- ヒアリング等で明らかになった課題として、サイバーセキュリティ対策について担当部署の設置や管理規定の整備を行っている代理店は約6割、コンティンジェンシープランを策定している代理店は約5割にとどまり、さらなる取組みの進展が望まれている（出典:01.pdf p.8）。  
- また、代理店側の懸念（手数料や統廃合など）に配慮する必要があるため、関係者間の丁寧な対応や評価運営の浸透を通じて、公平で顧客本位の業務運営を目指している（出典:01.pdf p.8）。","finance","paragraph","True","1.0","1.0"
"4","外貨建保険の販売による苦情件数および苦情発生率の変動傾向について教えてください。また、外貨建保険の苦情の背景も合わせて示してください。","外貨建保険の販売に関する苦情件数と苦情発生率は、2012年から2015年にかけて増加傾向にありました。2016年以降は一旦減少しましたが、2022年度には再び増加の兆しが見られました。この変動には、外貨建保険の運用目標到達による解約が増加していることが影響しており、特に解約払戻金が想定した水準を下回るとの苦情が顕著に増加しています。このため、生命保険会社は受電体制の強化およびWeb手続きの充実などの取り組みを実施しているが、顧客本位の業務運営の更なる徹底が求められています。","要点（出典: 01.pdf p.10）

1) 件数・発生率の推移（数値）
- 新契約に関する苦情件数（金融機関代理店で発生、年次）
  - 2012年: 597件
  - 2013年: 615件
  - 2014年: 922件
  - 2015年: 1,239件
  - 2016年: 1,665件
  - 2017年: 1,888件
  - 2018年: 2,543件
  - 2019年: 2,822件
  - 2020年: 1,866件
  - 2021年: 1,375件
  - 2022年: 1,067件（※2022年度は第3四半期までの発生分を反映。棒グラフの点線部分は年換算の予測値）（p.10）

- 苦情発生率（対保有件数、年次）
  - 2012年: 0.14%
  - 2013年: 0.11%
  - 2014年: 0.12%
  - 2015年: 0.10%
  - 2016年: 0.10%
  - 2017年: 0.09%
  - 2018年: 0.08%
  - 2019年: 0.08%
  - 2020年: 0.05%
  - 2021年: 0.04%
  - 2022年: 0.04%（p.10）

2) 変動傾向の整理（p.10）
- 件数は2012年から2019年にかけて増加し、2019年にピーク（2,822件）を付けた後、2020〜2022年は減少している（ただし2022年は第3四半期までの集計）。  
- 発生率は概ね低下傾向にあり、2012年の0.14%から2022年の約0.04%まで下がっている。  
- 報告では「販売量が増加に転じた結果、近年減少傾向にあった苦情件数・苦情発生率の動向にも、足元では変化の兆しが見られる」との指摘がある（p.10）。

3) 苦情の背景・原因として挙げられている点（p.10）
- 運用目標を設定した外貨建保険で、運用目標到達による解約が増加し、解約払戻金が想定していた水準を下回ることへの苦情が顕著に増加している。  
- このため、生命保険会社は受電体制の強化やWeb手続きの充実などの対応を実施している。  
- また、多くの生命保険会社が金融機関代理店に対し、適合性（＝顧客属性と商品特性の合致）確認に関する基準の具体化のため、他代理店で把握した好事例を情報提供する取組みを行っている。  
- 外貨建保険の販売会社における比較可能な共通KPIについては、金融庁へ報告された数値を集計・分析し公表している一方、金融機関代理店以外の保険代理店では共通KPI導入を検討している先は少数である（p.10）。

以上。","finance","paragraph","False","0.0","0.6"
"5","令和6年の景気動向に関する見通しについて、大企業非製造業の前回調査、現状判断、今後の見通しについてそれぞれ具体的な数値を上げ、上昇や下降の傾向を教えてください。","大企業非製造業の景気動向は、令和６年１～３月の前回調査では3.2％、令和６年４～６月の現状判断では1.1%、令和６年７～９月の見通しは5.4%、令和６年10～12月の見通しは5.0%となっています。継続してプラスに上昇し、令和６年７月以降は5%以上の上昇が見込まれています。","大企業・非製造業の値（出典：1c202401.pdf p.2）：
- 前回調査（令和6年3月末）：33.0（％ポイント）＝「上昇超」  
- 現状判断（令和6年6月末）：29.2（％ポイント）＝「上昇超」  
- 今後の見通し：令和6年9月末＝25.4（％ポイント）、令和6年12月末＝23.5（％ポイント）＝いずれも「上昇超」

傾向：前回調査→現状→見通しと数値は徐々に低下しており、バランス（上昇－下降）は依然プラス（上昇超）だが、漸次弱まる下降傾向にある（出典：同 p.2）。","finance","table","False","0.0","0.2"
"6","法人企業景気予測調査（令和６年４～６月期調査）の景況判断BSIについて、化学工業は前回調査からどの程度上昇しましたか？","化学工業は前回調査はマイナス5.5の判断でしたが、今回調査ではプラス9.5に大幅上昇しました。","化学工業のＢＳＩは、前回の▲5.5から今回の9.6へ転じており、15.1％ポイント上昇しました（出典：1c202401.pdf p.1）。","finance","image","True","1.0","0.8"
"7","令和6年4~6月期の国内の景況判断BSIにおいて、中堅企業と中小企業の差異について、見通しと現状の両方から具体的に説明してください。","令和6年4~6月期の国内の景況判断BSIを見ると、中堅企業は「上昇」超である一方、中小企業は「下降」超となっています。見通しにおいても、中堅企業は「上昇」超で推移する見込みですが、中小企業は「下降」超で推移する見通しです。これにより、中堅企業は成長が期待される一方で、中小企業は景況の改善が難しいと考えられます。","・現状（令和6年4～6月期）：国内の景況判断BSI（全産業）について、中堅企業は「上昇」超であるのに対し、中小企業は「下降」超となっている（出典：p.2）。  
・見通し：今後の見通しでも、中堅企業は「上昇」超で推移する見通しである一方、中小企業は「下降」超で推移する見通しである（出典：p.2）。","finance","paragraph","True","1.0","1.0"
"8","令和6年度通期において、売上高と経常利益の両方が共に前年同期比で増加した業種と、それらの増減率の詳細を挙げてください。また、その中で最も増加率が高い業種はどれでしょうか？","売上高と経常利益の両方が前年同期比で増加した業種は以下の通りです：
- 製造業: 売上高 2.5% 増, 経常利益 2.7% 増
- 卸売業: 売上高 2.4% 増, 経常利益 1.4% 増
- 小売業: 売上高 4.8% 増, 経常利益 4.1% 増
- 鉱業、採石業、砂利採取業: 売上高 4.1% 増, 経常利益 4.1% 増
- 業務用機械器具製造業: 売上高 24.9% 増, 経常利益 24.9% 増
- 生産用機械器具製造業: 売上高 6.4% 増, 経常利益 6.4% 増
- 自動車・同附属品製造業: 売上高 14.7% 増, 経常利益 14.7% 増
- 金融業、保険業: 売上高 11.7% 増, 経常利益 11.7% 増
- 非製造業: 売上高 0.9% 増, 経常利益 0.9% 増
- 小売業: 売上高 6.3% 増, 経常利益 6.3% 増

この中で最も増加率が高い業種は業務用機械器具製造業で、売上高と経常利益の両方が24.9%増加しています。","該当する業種（令和6年度通期で売上高・経常利益ともに前年同期比で増加）と増減率は以下のとおりです（出典：1c202401.pdf p.3）。

- 生産用機械器具製造業：売上高 +5.2％、経常利益 +6.4％（p.3）  
- 小売業：売上高 +4.8％、経常利益 +6.3％（p.3）

このうち、最も増加率が高い業種は生産用機械器具製造業です（売上高・経常利益ともに小売業を上回っています）。","finance","image","False","0.0","0.2"
"9","大企業と中小企業の設備投資の目的について、「維持更新」と「生産能力の拡大」に対する優先度に違いはありますか？","大企業の場合、「維持更新」が62.6%で最も大きな比重を占めるのに対し、中小企業では「生産（販売）能力の拡大」が53.8%で最も大きな比重を占める。大企業では「生産（販売）能力の拡大」（42.5%）が二番目に重要な投資項目として現れ、中小企業では「維持更新」が52.6%で二番目に重要な項目として現れる。これは大企業が現在の資産の維持と更新に比重を置くのに対し、中小企業は成長と拡張により重点を置いていることを意味する。","はい。違いがあります。全産業でみると、大企業は「維持更新」を最優先とし「生産（販売）能力の拡大」が次点であるのに対し、中小企業は「生産（販売）能力の拡大」を最優先とし「維持更新」が次点となっています（出典：1c202401.pdf p.5）。","finance","table","True","1.0","0.8"
