"question_id","question","reference_answer","generated_answer","domain","context_type","is_correct","score_answer_correctness","score_llm_judge"
"0","火災保険の収益悪化に対し、損害保険各社はどのような収益改善策を講じているか、具体的な例を挙げて説明してください。さらに、これらの改善策がどのように保険引受利益に影響を与えたかについても教えてください。","火災保険の収益悪化には長期契約が赤字状態であることや自然災害増加に伴う再保険市場のハード化が影響しています。これを受けて、各保険会社では2021年5月の参考純率改定に基づいて商品改定を行いました。また、更なる保険料改定が必要だと共通認識され、独自の収益改善策を講じている会社もあります。例えば、一部の保険会社は再保険の利用を見直し、リスク管理の強化を図っています。他の会社では、新技術を導入して損害査定の効率化を図るなどしています。これらの取り組みは、結果として一部の保険会社では保険引受利益の改善に寄与していますが、未だに全体としては二極化が進んでいると考えられます。","要点（出典：p.4）：
- 講じられている具体的な改善策（本文に明記されている事実）
  - 2021年5月の参考純率改定を踏まえ、各社で商品改定を実施したこと（商品設計・保険料の見直しを含む旨が示されている）。（出典：p.4）
  - 「更なる保険料改定が必要」という共通認識の下で保険料の改定を行う方向性が示されていること。（出典：p.4）
  - 大手3グループ及び中堅6社と金融庁等が、火災保険の収益改善等の取組みについて対話を実施したこと。（出典：p.4）
  - 参考純率改定に依存する改善にとどまる会社と、参考純率以外の独自の収益改善策まで実行している会社との二極化（差）が進んでいる可能性が指摘されていること。（出典：p.4）

- 収益（保険引受利益）への影響について（本文に明記されている事実）
  - 火災保険は正味収入保険料の約20%を占めるにもかかわらず、過去10年間にわたり保険引受利益が恒常的にマイナスであることが示されている。（出典：p.4）
  - 商品改定や参考純率改定は各社で実施されているが、本文ではそれらが保険引受利益をどの程度改善したかの定量的な効果は示されていない。（出典：p.4）
  - ただし、本文は「更なる保険料改定が必要」という認識と、参考純率改定に依存する会社と独自策を実施する会社との間で収益改善の二極化が進んでいる可能性を指摘しており、施策の影響は会社ごとに異なっていることを示唆している。（出典：p.4）

以上。本文では「商品改定」「保険料改定」「独自の収益改善策の実施」等の取組みが明記されている一方で、それらによる具体的な数値効果や個別事例の詳細は記載されていません（出典：p.4）。","finance","paragraph","False","0.0","0.8"
"1","2017年度から2021年度までのどの年が最も自然災害の保険金支払額が高かったか？また、その理由についても説明しなさい。","2017年度から2021年度まで最も保険金支払額が高かったのは2018年度で、10,678億円の被害が発生しました。その理由として、2018年度は台風21号が特に大きな影響を及ぼし、甚大な被害をもたらしたことが考えられます。","2018年度が最も高く、支払額は10,678億円です（出典：01.pdf p.5）。理由としては、近年の台風・水害等の大規模な風水災の発生・激甚化により保険金支払いが大幅に増加しているためです（出典：01.pdf p.5、DP2023-2.pdf p.11）。","finance","image","True","1.0","0.8"
"2","主要生保のソルベンシー・マージン比率の推移を考慮すると、令和5年3月期の比率が令和3年3月期と比べてどのような変動を示しているか。","令和3年3月期のソルベンシー・マージン比率は1007.4でしたが、令和5年3月期には944.8に減少しています。三年間で総計62.6ポイントの減少が見られます。","提示されたコンテキスト（[1]/[3]はp.11、[2]はp.13）には、主要生命保険会社のソルベンシー・マージン比率の推移に関する記載が含まれていません（[1]/[3]は家計の収入表、[2]は別件の損失・デフォルトに関する記載）。よって、令和5年3月期と令和3年3月期の比率がどのように変動したかは、提示資料からは判断できません。","finance","image","False","0.0","0.2"
"3","生命保険協会や金融庁は保険代理店の業務品質評価運営に対してどのような具体的な取組みや対策を講じているのか、またその背景にはどのような課題や目的があるのか説明してください。","保険代理店管理態勢の高度化において、生命保険協会や金融庁は代理店の業務品質評価運営に力を入れています。金融庁は、生命保険協会の評価運営を踏まえ、各保険会社が代理店の業務品質を評価する状況を確認しています。更に、評価運営の更なる浸透を図るため、具体的な意見を発信し、生命保険会社や保険代理店が創意工夫を凝らした取組みを促進しています。これらの背景には、代理店が直接の顧客接点として重要な役割を担っていること、また顧客本位の業務運営を確実にするために、代理店の業務品質の向上が重要であるという課題があります。加えて、保険代理店がサイバーセキュリティ対策やコンティンジェンシープランの策定において遅れを取っており、更なる取り組みの進展が望まれる点も挙げられます。","以下、コンテキストに基づく事実のみを記載します。

具体的な取組み・対策
- 生命保険協会における評価運営を踏まえ、各社の「代理店の業務品質評価」の検討状況を確認している。金融庁は評価運営の更なる浸透に向けて意見を発信し、生命保険会社や保険代理店の創意工夫を促している。（出典: 01.pdf p.8）
- 損害保険分野では、損害保険会社と代理店の円滑な連携に関して、手数料ポイントや代理店の統廃合について一部代理店から懸念があることを踏まえ、これらの対応が一方的にならないよう損害保険会社に丁寧な対応を促している。（出典: 01.pdf p.8）
- 財務局と協働して84の保険代理店を対象にヒアリングを実施している（保険代理店の実態把握や管理態勢の確認のための取組み）。（出典: 01.pdf p.7）
- 保険代理店の管理態勢（業務品質評価運営を含む）について、サイバーセキュリティや事業継続（コンティンジェンシー）等の観点で実態を把握しており、担当部署の設置や各種管理規定を整備している代理店は約6割、コンティンジェンシープランを策定している代理店は約5割にとどまるとして、さらなる取組みの進展を求めている。（出典: 01.pdf p.7）

背景にある課題・目的
- 保険代理店は「直接の顧客接点」として顧客と保険会社をつなぐ重要な役割を担っており、これを踏まえ保険代理店の管理態勢の高度化が必要であるという課題認識がある。（出典: 01.pdf p.8）
- 上記のため、業務品質評価の運営を浸透させ、各社・代理店による創意工夫を促進するとともに、代理店管理態勢（サイバーセキュリティ、事業継続等）の強化を図ることが目的とされている。（出典: 01.pdf p.7–8）","finance","paragraph","True","1.0","1.0"
"4","外貨建保険の販売による苦情件数および苦情発生率の変動傾向について教えてください。また、外貨建保険の苦情の背景も合わせて示してください。","外貨建保険の販売に関する苦情件数と苦情発生率は、2012年から2015年にかけて増加傾向にありました。2016年以降は一旦減少しましたが、2022年度には再び増加の兆しが見られました。この変動には、外貨建保険の運用目標到達による解約が増加していることが影響しており、特に解約払戻金が想定した水準を下回るとの苦情が顕著に増加しています。このため、生命保険会社は受電体制の強化およびWeb手続きの充実などの取り組みを実施しているが、顧客本位の業務運営の更なる徹底が求められています。","以下は、提示された資料（出典：01.pdf p.10）に基づく事実のみの整理です。

1) 苦情件数の変動傾向（年次）
- 2012年：597件  
- 2013年：615件  
- 2014年：922件  
- 2015年：1,239件  
- 2016年：1,665件  
- 2017年：1,888件  
- 2018年：2,543件  
- 2019年：2,822件（ピーク）  
- 2020年：1,866件（2019年以降は減少）  
- 2021年：1,375件  
- 2022年：1,067件（※2022年度は第3四半期発生分までの反映。棒グラフの点線部分は年換算の予測値）  
→ 概括すると、2012→2019で増加して2019にピークを迎え、その後2020以降は減少している。

2) 苦情発生率（対保有件数）の変動傾向
- 2012年：0.14%  
- 2013年：0.11%  
- 2014年：0.12%  
- 2015年：0.10%  
- 2016年：0.10%  
- 2017年：0.09%  
- 2018年：0.08%  
- 2019年：0.08%  
- 2020年：0.05%  
- 2021年：0.04%  
- 2022年：0.04%（※2022は上記と同様に第3四半期までの反映）  
→ 概括すると、発生率は2012年の0.14%から概ね低下傾向で、2020年以降は0.05%〜0.04%の水準にある。

3) 苦情の背景（資料記載の指摘）
- 外貨建保険の販売量が増加に転じたことにより、近年減少傾向にあった苦情件数・苦情発生率にも足元で変化の兆しが見られる（p.10）。  
- 運用目標を設定した外貨建保険において、運用目標到達に伴う解約が増加し、その結果として解約払戻金が想定していた水準を下回るとの苦情が顕著に増加している（p.10）。  
- これを受けて、生命保険会社は受電体制の強化やWeb手続きの充実等の対応を実施している（p.10）。  
- また、金融機関代理店に対しては「適合性の確認に関する基準の具体化」を促すため、他の代理店で把握した好事例の情報提供等の取組みを行っている（p.10）。  

（出典：01.pdf p.10）","finance","paragraph","False","0.0","0.6"
"5","令和6年の景気動向に関する見通しについて、大企業非製造業の前回調査、現状判断、今後の見通しについてそれぞれ具体的な数値を上げ、上昇や下降の傾向を教えてください。","大企業非製造業の景気動向は、令和６年１～３月の前回調査では3.2％、令和６年４～６月の現状判断では1.1%、令和６年７～９月の見通しは5.4%、令和６年10～12月の見通しは5.0%となっています。継続してプラスに上昇し、令和６年７月以降は5%以上の上昇が見込まれています。","大企業・非製造業の見通し（出典：1c202401.pdf、p.2。単位は％ポイント）：

- 前回調査（令和6年3月末）：33.0  
- 現状判断（令和6年6月末）：29.2  
- 見通し（令和6年9月末）：25.4  
- さらに先の見通し（令和6年12月末）：23.5

これらの数値は段階的に低下しており、大企業の非製造業は上昇ではなく下降の傾向を示しています（出典：同 p.2）。","finance","table","False","0.0","0.2"
"6","法人企業景気予測調査（令和６年４～６月期調査）の景況判断BSIについて、化学工業は前回調査からどの程度上昇しましたか？","化学工業は前回調査はマイナス5.5の判断でしたが、今回調査ではプラス9.5に大幅上昇しました。","化学工業のBSIは、前回の▲5.5から今回の9.6へ変化しており、15.1％ポイントの上昇です（出典：1c202401.pdf, p.1）。","finance","image","True","1.0","0.8"
"7","令和6年4~6月期の国内の景況判断BSIにおいて、中堅企業と中小企業の差異について、見通しと現状の両方から具体的に説明してください。","令和6年4~6月期の国内の景況判断BSIを見ると、中堅企業は「上昇」超である一方、中小企業は「下降」超となっています。見通しにおいても、中堅企業は「上昇」超で推移する見込みですが、中小企業は「下降」超で推移する見通しです。これにより、中堅企業は成長が期待される一方で、中小企業は景況の改善が難しいと考えられます。","・現状（令和6年4～6月期、国内の景況判断BSI、全産業）  
　中堅企業は「上昇」超、一方で中小企業は「下降」超である（出典：p.2）。

・見通し（将来の推移予想、同上）  
　中堅企業は今後も「上昇」超で推移する見通しであるのに対し、中小企業は今後も「下降」超で推移する見通しである（出典：p.2）。","finance","paragraph","True","1.0","0.8"
"8","令和6年度通期において、売上高と経常利益の両方が共に前年同期比で増加した業種と、それらの増減率の詳細を挙げてください。また、その中で最も増加率が高い業種はどれでしょうか？","売上高と経常利益の両方が前年同期比で増加した業種は以下の通りです：
- 製造業: 売上高 2.5% 増, 経常利益 2.7% 増
- 卸売業: 売上高 2.4% 増, 経常利益 1.4% 増
- 小売業: 売上高 4.8% 増, 経常利益 4.1% 増
- 鉱業、採石業、砂利採取業: 売上高 4.1% 増, 経常利益 4.1% 増
- 業務用機械器具製造業: 売上高 24.9% 増, 経常利益 24.9% 増
- 生産用機械器具製造業: 売上高 6.4% 増, 経常利益 6.4% 増
- 自動車・同附属品製造業: 売上高 14.7% 増, 経常利益 14.7% 増
- 金融業、保険業: 売上高 11.7% 増, 経常利益 11.7% 増
- 非製造業: 売上高 0.9% 増, 経常利益 0.9% 増
- 小売業: 売上高 6.3% 増, 経常利益 6.3% 増

この中で最も増加率が高い業種は業務用機械器具製造業で、売上高と経常利益の両方が24.9%増加しています。","該当する業種（売上高・経常利益ともに前年同期比で増加）と増減率は、出典 p.3 の記載によれば以下のとおりです。

- 生産用機械器具製造業：売上高＋5.2％、経常利益＋6.4％（出典：p.3）  
- 小売業：売上高＋4.8％、経常利益＋6.3％（出典：p.3）

このうち、増加率が最も高い業種は生産用機械器具製造業です（売上高＋5.2％、経常利益＋6.4％）。","finance","image","False","0.0","0.2"
"9","大企業と中小企業の設備投資の目的について、「維持更新」と「生産能力の拡大」に対する優先度に違いはありますか？","大企業の場合、「維持更新」が62.6%で最も大きな比重を占めるのに対し、中小企業では「生産（販売）能力の拡大」が53.8%で最も大きな比重を占める。大企業では「生産（販売）能力の拡大」（42.5%）が二番目に重要な投資項目として現れ、中小企業では「維持更新」が52.6%で二番目に重要な項目として現れる。これは大企業が現在の資産の維持と更新に比重を置くのに対し、中小企業は成長と拡張により重点を置いていることを意味する。","はい。違いがあります。全産業では大企業は「維持更新」を最優先とし次点が「生産（販売）能力の拡大」であるのに対し、中小企業は「生産（販売）能力の拡大」を最優先とし「維持更新」が次に重要であるとされています（出典：p.5）。","finance","table","True","1.0","0.8"
